date,StateName,value,value_prev,yoy
2018-01-01,Alabama,1031.0,,
2018-02-01,Alabama,1027.0,,
2018-03-01,Alabama,1035.0,,
2018-04-01,Alabama,1043.0,,
2018-05-01,Alabama,1048.0,,
2018-06-01,Alabama,1053.0,,
2018-07-01,Alabama,1043.0,,
2018-08-01,Alabama,1054.0,,
2018-09-01,Alabama,1051.0,,
2018-10-01,Alabama,1060.0,,
2018-11-01,Alabama,1064.0,,
2018-12-01,Alabama,1067.0,,
2019-01-01,Alabama,1076.0,1031.0,0.043646944713870095
2019-02-01,Alabama,1080.0,1027.0,0.05160662122687443
2019-03-01,Alabama,1087.0,1035.0,0.05024154589371976
2019-04-01,Alabama,1083.0,1043.0,0.038350910834132224
2019-05-01,Alabama,1087.0,1048.0,0.03721374045801529
2019-06-01,Alabama,1091.0,1053.0,0.036087369420702675
2019-07-01,Alabama,1094.0,1043.0,0.04889741131351877
2019-08-01,Alabama,1096.0,1054.0,0.03984819734345346
2019-09-01,Alabama,1102.0,1051.0,0.04852521408182686
2019-10-01,Alabama,1100.0,1060.0,0.037735849056603765
2019-11-01,Alabama,1099.0,1064.0,0.03289473684210531
2019-12-01,Alabama,1099.0,1067.0,0.029990627928772273
2020-01-01,Alabama,1099.0,1076.0,0.021375464684014966
2020-02-01,Alabama,1106.0,1080.0,0.024074074074074137
2020-03-01,Alabama,1129.0,1087.0,0.03863845446182146
2020-04-01,Alabama,1126.0,1083.0,0.03970452446906747
2020-05-01,Alabama,1121.0,1087.0,0.03127874885004589
2020-06-01,Alabama,1116.0,1091.0,0.0229147571035746
2020-07-01,Alabama,1129.0,1094.0,0.03199268738574035
2020-08-01,Alabama,1134.0,1096.0,0.034671532846715314
2020-09-01,Alabama,1150.0,1102.0,0.04355716878402904
2020-10-01,Alabama,1143.0,1100.0,0.039090909090909065
2020-11-01,Alabama,1154.0,1099.0,0.05004549590536844
2020-12-01,Alabama,1161.0,1099.0,0.0564149226569608
2021-01-01,Alabama,1166.0,1099.0,0.060964513193812575
2021-02-01,Alabama,1169.0,1106.0,0.05696202531645578
2021-03-01,Alabama,1173.0,1129.0,0.03897254207263057
2021-04-01,Alabama,1181.0,1126.0,0.048845470692717496
2021-05-01,Alabama,1195.0,1121.0,0.06601248884924171
2021-06-01,Alabama,1207.0,1116.0,0.08154121863799291
2021-07-01,Alabama,1233.0,1129.0,0.09211691762621799
2021-08-01,Alabama,1247.0,1134.0,0.09964726631393295
2021-09-01,Alabama,1253.0,1150.0,0.08956521739130441
2021-10-01,Alabama,1265.0,1143.0,0.10673665791776021
2021-11-01,Alabama,1285.0,1154.0,0.11351819757365678
2021-12-01,Alabama,1289.0,1161.0,0.11024978466838942
2022-01-01,Alabama,1293.0,1166.0,0.10891938250428823
2022-02-01,Alabama,1293.0,1169.0,0.10607356715141147
2022-03-01,Alabama,1305.0,1173.0,0.11253196930946285
2022-04-01,Alabama,1314.0,1181.0,0.11261642675698558
2022-05-01,Alabama,1326.0,1195.0,0.10962343096234317
2022-06-01,Alabama,1332.0,1207.0,0.10356255178127594
2018-01-01,Arizona,1010.6666666666666,,
2018-02-01,Arizona,1016.0,,
2018-03-01,Arizona,1022.6666666666666,,
2018-04-01,Arizona,1034.6666666666667,,
2018-05-01,Arizona,1043.0,,
2018-06-01,Arizona,1050.0,,
2018-07-01,Arizona,1057.0,,
2018-08-01,Arizona,1060.3333333333333,,
2018-09-01,Arizona,1063.3333333333333,,
2018-10-01,Arizona,1071.0,,
2018-11-01,Arizona,1073.6666666666667,,
2018-12-01,Arizona,1081.0,,
2019-01-01,Arizona,1081.3333333333333,1010.6666666666666,0.06992084432717682
2019-02-01,Arizona,1087.6666666666667,1016.0,0.07053805774278232
2019-03-01,Arizona,1096.3333333333333,1022.6666666666666,0.07203389830508478
2019-04-01,Arizona,1106.3333333333333,1034.6666666666667,0.06926546391752564
2019-05-01,Arizona,1117.3333333333333,1043.0,0.07126877596676251
2019-06-01,Arizona,1120.0,1050.0,0.06666666666666665
2019-07-01,Arizona,1125.6666666666667,1057.0,0.0649637338379061
2019-08-01,Arizona,1124.6666666666667,1060.3333333333333,0.06067274441999393
2019-09-01,Arizona,1133.3333333333333,1063.3333333333333,0.0658307210031348
2019-10-01,Arizona,1135.6666666666667,1071.0,0.06037970743853105
2019-11-01,Arizona,1146.0,1073.6666666666667,0.06737038186898481
2019-12-01,Arizona,1153.0,1081.0,0.06660499537465303
2020-01-01,Arizona,1161.0,1081.3333333333333,0.0736744759556105
2020-02-01,Arizona,1172.0,1087.6666666666667,0.07753600980692599
2020-03-01,Arizona,1171.3333333333333,1096.3333333333333,0.06840985101854669
2020-04-01,Arizona,1172.3333333333333,1106.3333333333333,0.05965652304911129
2020-05-01,Arizona,1172.6666666666667,1117.3333333333333,0.04952267303102631
2020-06-01,Arizona,1175.6666666666667,1120.0,0.04970238095238111
2020-07-01,Arizona,1186.0,1125.6666666666667,0.05359786793011545
2020-08-01,Arizona,1196.6666666666667,1124.6666666666667,0.06401896858328393
2020-09-01,Arizona,1210.6666666666667,1133.3333333333333,0.06823529411764717
2020-10-01,Arizona,1229.6666666666667,1135.6666666666667,0.08277076606985623
2020-11-01,Arizona,1242.0,1146.0,0.08376963350785349
2020-12-01,Arizona,1247.0,1153.0,0.08152645273200343
2021-01-01,Arizona,1250.0,1161.0,0.07665805340223941
2021-02-01,Arizona,1269.0,1172.0,0.08276450511945388
2021-03-01,Arizona,1285.6666666666667,1171.3333333333333,0.09760956175298818
2021-04-01,Arizona,1308.6666666666667,1172.3333333333333,0.11629229456923529
2021-05-01,Arizona,1350.3333333333333,1172.6666666666667,0.1515065378055711
2021-06-01,Arizona,1385.0,1175.6666666666667,0.1780550042529061
2021-07-01,Arizona,1415.3333333333333,1186.0,0.19336706014614946
2021-08-01,Arizona,1439.3333333333333,1196.6666666666667,0.20278551532033418
2021-09-01,Arizona,1476.0,1210.6666666666667,0.21916299559471364
2021-10-01,Arizona,1513.3333333333333,1229.6666666666667,0.2306858227161832
2021-11-01,Arizona,1523.6666666666667,1242.0,0.22678475577026314
2021-12-01,Arizona,1525.0,1247.0,0.22293504410585396
2022-01-01,Arizona,1500.6666666666667,1250.0,0.20053333333333345
2022-02-01,Arizona,1528.0,1269.0,0.20409771473601257
2022-03-01,Arizona,1570.6666666666667,1285.6666666666667,0.2216748768472907
2022-04-01,Arizona,1586.0,1308.6666666666667,0.21192052980132448
2022-05-01,Arizona,1587.3333333333333,1350.3333333333333,0.1755122192051346
2022-06-01,Arizona,1576.3333333333333,1385.0,0.1381468110709987
2018-01-01,Arkansas,912.0,,
2018-02-01,Arkansas,917.0,,
2018-03-01,Arkansas,916.0,,
2018-04-01,Arkansas,918.0,,
2018-05-01,Arkansas,915.0,,
2018-06-01,Arkansas,913.0,,
2018-07-01,Arkansas,919.0,,
2018-08-01,Arkansas,922.0,,
2018-09-01,Arkansas,927.0,,
2018-10-01,Arkansas,929.0,,
2018-11-01,Arkansas,931.0,,
2018-12-01,Arkansas,928.0,,
2019-01-01,Arkansas,925.0,912.0,0.014254385964912242
2019-02-01,Arkansas,931.0,917.0,0.01526717557251911
2019-03-01,Arkansas,938.0,916.0,0.024017467248908186
2019-04-01,Arkansas,940.0,918.0,0.023965141612200425
2019-05-01,Arkansas,942.0,915.0,0.029508196721311553
2019-06-01,Arkansas,949.0,913.0,0.03943044906900339
2019-07-01,Arkansas,954.0,919.0,0.0380848748639826
2019-08-01,Arkansas,947.0,922.0,0.027114967462039008
2019-09-01,Arkansas,946.0,927.0,0.02049622437971954
2019-10-01,Arkansas,946.0,929.0,0.01829924650161474
2019-11-01,Arkansas,949.0,931.0,0.01933404940923733
2019-12-01,Arkansas,951.0,928.0,0.024784482758620774
2020-01-01,Arkansas,957.0,925.0,0.034594594594594685
2020-02-01,Arkansas,959.0,931.0,0.03007518796992481
2020-03-01,Arkansas,960.0,938.0,0.023454157782516027
2020-04-01,Arkansas,961.0,940.0,0.022340425531914843
2020-05-01,Arkansas,965.0,942.0,0.02441613588110414
2020-06-01,Arkansas,974.0,949.0,0.026343519494204326
2020-07-01,Arkansas,993.0,954.0,0.04088050314465419
2020-08-01,Arkansas,998.0,947.0,0.05385427666314668
2020-09-01,Arkansas,998.0,946.0,0.05496828752642702
2020-10-01,Arkansas,999.0,946.0,0.05602536997885843
2020-11-01,Arkansas,1002.0,949.0,0.05584826132771337
2020-12-01,Arkansas,1007.0,951.0,0.05888538380651953
2021-01-01,Arkansas,1014.0,957.0,0.059561128526645746
2021-02-01,Arkansas,1021.0,959.0,0.06465067778936384
2021-03-01,Arkansas,1029.0,960.0,0.07187499999999991
2021-04-01,Arkansas,1044.0,961.0,0.08636836628511957
2021-05-01,Arkansas,1050.0,965.0,0.08808290155440424
2021-06-01,Arkansas,1067.0,974.0,0.09548254620123209
2021-07-01,Arkansas,1091.0,993.0,0.09869083585095662
2021-08-01,Arkansas,1115.0,998.0,0.1172344689378757
2021-09-01,Arkansas,1123.0,998.0,0.12525050100200397
2021-10-01,Arkansas,1118.0,999.0,0.11911911911911921
2021-11-01,Arkansas,1129.0,1002.0,0.12674650698602785
2021-12-01,Arkansas,1135.0,1007.0,0.12711022840119157
2022-01-01,Arkansas,1122.0,1014.0,0.10650887573964507
2022-02-01,Arkansas,1130.0,1021.0,0.10675808031341827
2022-03-01,Arkansas,1137.0,1029.0,0.10495626822157433
2022-04-01,Arkansas,1137.0,1044.0,0.08908045977011492
2022-05-01,Arkansas,1152.0,1050.0,0.0971428571428572
2022-06-01,Arkansas,1167.0,1067.0,0.0937207122774133
2018-01-01,California,2024.9,,
2018-02-01,California,2036.5,,
2018-03-01,California,2047.0,,
2018-04-01,California,2056.9,,
2018-05-01,California,2073.4,,
2018-06-01,California,2087.1,,
2018-07-01,California,2099.2,,
2018-08-01,California,2108.4,,
2018-09-01,California,2110.4,,
2018-10-01,California,2113.1,,
2018-11-01,California,2113.4,,
2018-12-01,California,2116.2,,
2019-01-01,California,2119.4,2024.9,0.04666897130722503
2019-02-01,California,2129.1,2036.5,0.0454701694082984
2019-03-01,California,2141.9,2047.0,0.046360527601367885
2019-04-01,California,2149.4,2056.9,0.04497058680538668
2019-05-01,California,2160.3,2073.4,0.041911835632294725
2019-06-01,California,2172.9,2087.1,0.04110967370993257
2019-07-01,California,2184.5,2099.2,0.040634527439024515
2019-08-01,California,2189.8,2108.4,0.03860747486245497
2019-09-01,California,2189.7,2110.4,0.03757581501137208
2019-10-01,California,2189.5,2113.1,0.036155411480762956
2019-11-01,California,2188.4,2113.4,0.0354878395003313
2019-12-01,California,2195.1,2116.2,0.037283810603912615
2020-01-01,California,2207.2,2119.4,0.04142681891101252
2020-02-01,California,2217.6,2129.1,0.041566859236296994
2020-03-01,California,2215.5,2141.9,0.03436201503338143
2020-04-01,California,2201.8,2149.4,0.024378896436214825
2020-05-01,California,2197.5,2160.3,0.01721983057908605
2020-06-01,California,2201.3,2172.9,0.013070090662248735
2020-07-01,California,2206.3,2184.5,0.009979400320439646
2020-08-01,California,2210.3,2189.8,0.009361585532925432
2020-09-01,California,2211.1,2189.7,0.009773028268712736
2020-10-01,California,2214.1,2189.5,0.011235441881708219
2020-11-01,California,2220.1,2188.4,0.014485468835679027
2020-12-01,California,2228.0,2195.1,0.014987927657054367
2021-01-01,California,2239.9,2207.2,0.014815150416817913
2021-02-01,California,2247.8,2217.6,0.013618326118326252
2021-03-01,California,2275.1,2215.5,0.026901376664409726
2021-04-01,California,2308.4,2201.8,0.04841493323644297
2021-05-01,California,2344.8,2197.5,0.06703071672354954
2021-06-01,California,2388.8,2201.3,0.08517694089855987
2021-07-01,California,2437.1,2206.3,0.10460952726283801
2021-08-01,California,2472.9,2210.3,0.11880740171017501
2021-09-01,California,2502.2,2211.1,0.1316539279091855
2021-10-01,California,2511.1,2214.1,0.13414028273339063
2021-11-01,California,2522.5,2220.1,0.1362100806269988
2021-12-01,California,2540.8,2228.0,0.14039497307001803
2022-01-01,California,2554.7,2239.9,0.14054198848162858
2022-02-01,California,2582.5,2247.8,0.14890114778894903
2022-03-01,California,2607.8,2275.1,0.14623533031515112
2022-04-01,California,2637.2,2308.4,0.14243631952867775
2022-05-01,California,2669.4,2344.8,0.13843398157625386
2022-06-01,California,2681.6,2388.8,0.12257200267916923
2018-01-01,Colorado,1512.75,,
2018-02-01,Colorado,1522.75,,
2018-03-01,Colorado,1535.25,,
2018-04-01,Colorado,1543.5,,
2018-05-01,Colorado,1556.5,,
2018-06-01,Colorado,1567.5,,
2018-07-01,Colorado,1575.25,,
2018-08-01,Colorado,1576.5,,
2018-09-01,Colorado,1570.75,,
2018-10-01,Colorado,1570.75,,
2018-11-01,Colorado,1563.5,,
2018-12-01,Colorado,1568.0,,
2019-01-01,Colorado,1574.25,1512.75,0.0406544372830937
2019-02-01,Colorado,1590.25,1522.75,0.04432769660154334
2019-03-01,Colorado,1601.0,1535.25,0.0428269011561635
2019-04-01,Colorado,1610.0,1543.5,0.04308390022675734
2019-05-01,Colorado,1620.0,1556.5,0.04079665917121744
2019-06-01,Colorado,1627.5,1567.5,0.038277511961722466
2019-07-01,Colorado,1630.75,1575.25,0.03523250277733703
2019-08-01,Colorado,1631.75,1576.5,0.03504598794798608
2019-09-01,Colorado,1629.25,1570.75,0.03724335508515031
2019-10-01,Colorado,1632.0,1570.75,0.03899411109342665
2019-11-01,Colorado,1628.25,1563.5,0.04141349536296768
2019-12-01,Colorado,1625.5,1568.0,0.03667091836734704
2020-01-01,Colorado,1633.75,1574.25,0.03779577576623794
2020-02-01,Colorado,1643.25,1590.25,0.033328093067127806
2020-03-01,Colorado,1653.5,1601.0,0.032792004996876845
2020-04-01,Colorado,1642.25,1610.0,0.020031055900621153
2020-05-01,Colorado,1640.75,1620.0,0.012808641975308621
2020-06-01,Colorado,1647.25,1627.5,0.01213517665130559
2020-07-01,Colorado,1654.75,1630.75,0.014717154683427935
2020-08-01,Colorado,1654.0,1631.75,0.013635667228435677
2020-09-01,Colorado,1655.75,1629.25,0.016265152677612305
2020-10-01,Colorado,1657.25,1632.0,0.015471813725490113
2020-11-01,Colorado,1657.25,1628.25,0.017810532780592636
2020-12-01,Colorado,1662.75,1625.5,0.022916025838203735
2021-01-01,Colorado,1668.75,1633.75,0.021423106350420884
2021-02-01,Colorado,1685.25,1643.25,0.025559105431310014
2021-03-01,Colorado,1705.75,1653.5,0.031599637133353564
2021-04-01,Colorado,1731.75,1642.25,0.054498401583193745
2021-05-01,Colorado,1760.25,1640.75,0.07283254609172629
2021-06-01,Colorado,1793.25,1647.25,0.08863256943390496
2021-07-01,Colorado,1828.5,1654.75,0.10500075540111808
2021-08-01,Colorado,1854.0,1654.0,0.12091898428053205
2021-09-01,Colorado,1857.5,1655.75,0.12184810508832866
2021-10-01,Colorado,1866.5,1657.25,0.12626338814300797
2021-11-01,Colorado,1871.25,1657.25,0.12912958213908587
